run_id,verdict,direction_match_rate,r1_direction,r1_gyro_deg_s,r1_accel_g,r1_jitter_ms,r1_pass,r2_direction,r2_gyro_deg_s,r2_accel_g,r2_jitter_ms,r2_pass,r3_direction,r3_gyro_deg_s,r3_accel_g,r3_jitter_ms,r3_pass,cfc_007,cfc_008
EE003-001,PASS,0.67,"→",253,1.36,317,FAIL,"→",289,1.55,140,PASS,"←",194,1.85,999,PASS,FALSE,FALSE
EE003-002,PASS,1.00,"↓",389,2.41,80,PASS,"↑",152,1.87,447,PASS,"↑",126,1.57,341,PASS,FALSE,FALSE
EE003-003,PASS,0.67,"←",357,0.93,592,PASS,"→",268,2.03,631,PASS,"↑",161,1.76,706,PASS,FALSE,FALSE
EE003-004,PASS,0.67,"←",409,1.11,369,PASS,"→",328,2.36,397,FAIL,"↑",168,2.19,386,PASS,FALSE,FALSE
EE003-005,PASS,0.67,"↑",164,2.78,529,PASS,"→",427,3.88,967,FAIL,"↓",347,2.42,272,PASS,FALSE,FALSE
EE003-006,PASS,0.67,"↓",387,2.69,902,PASS,"→",371,2.49,575,FAIL,"←",263,1.43,455,PASS,FALSE,FALSE
EE003-007,PASS,0.67,"↓",328,2.36,579,PASS,"↓",346,2.81,384,PASS,"↑",109,2.21,420,PASS,FALSE,FALSE
EE003-008,PASS,0.67,"←",379,1.78,896,PASS,"↓",318,3.71,486,PASS,"↓",331,3.21,772,PASS,FALSE,FALSE
EE003-009,INSUFFICIENT,0.33,"→",452,3.51,12,FAIL,"←",241,1.54,364,FAIL,"→",176,1.68,840,PASS,FALSE,FALSE
EE003-010,INSUFFICIENT,0.33,"↓",418,2.82,450,PASS,"→",417,3.51,285,FAIL,"→",340,3.51,237,FAIL,FALSE,FALSE
EE003-011,INSUFFICIENT,0.33,"→",428,2.49,49,FAIL,"→",266,2.86,536,PASS,"↑",275,3.47,152,FAIL,FALSE,FALSE
EE003-012,PASS,0.67,"↑",203,2.07,370,PASS,"←",281,1.13,980,PASS,"→",350,2.54,626,FAIL,FALSE,FALSE
